Adachisakura,258401,3
Adm,291268,2
Adriana,935754,2
Adya,778417,1
Bcube,2087073,10
Cheesebreath,301427,6
Chogup (Freedlock),0,3
Clapya,1273560,3
Clapya (self damage),29990,0
Cleanskill,60037,8
Doelfinest,1568914,4
Doelfinest (self damage),104965,0
Eleae,339334,2
Eleae (self damage),14995,0
Freedlock,908891,3
Gelnik (Adachisakura),0,1
Gholmes,660010,8
Imul,1220495,6
Interlani,434667,3
Jagdar,236036,3
Jagdar (self damage),59980,0
Jinp,883170,8
Jinp (self damage),149950,0
Kayax,791691,9
Kilgasm,1453050,3
Lorrah,329328,4
Magn,1647022,5
Magn (self damage),29990,0
Manadevil,934902,2
Martlflash,1198350,4
Minoas,432554,3
Moossiss,0,2
Nehelenia,1014730,3
Nojlythree,0,0
Oileri,712174,6
Oivse,976714,3
Pristitute,236746,1
Psykhe,1328433,7
Randgriz,738605,4
Ryx,277113,8
Selverslip,659482,2
Shape,1921473,6
Shape (self damage),44985,0
Snega,1004963,3
Teawon,140737,7
Thunder (Minoas),0,3
Tinerispew,882425,4
Tiogar,1700498,5
Tiogar (self damage),89970,0
Traashon (Freedlock),0,1
Turborevenge,779938,6
Xelya,1738017,5
Xelya (self damage),29990,0
Yuyi,624560,5
